series,c1,c2,c3,c4,c5
1,Frank Skinner,Josh Widdicombe,Roisin Conaty,Romesh Ranganathan,Tim Key
2,Doc Brown,Joe Wilkinson,Jon Richardson,Katherine Ryan,Richard Osman
3,Al Murray,Dave Gorman,Paul Chowdhry,Rob Beckett,Sara Pascoe
4,Hugh Dennis,Joe Lycett,Lolly Adefope,Mel Giedroyc,Noel Fielding
5,Aisling Bea,Bob Mortimer,Mark Watson,Nish Kumar,Sally Phillips
C1,Bob Mortimer,Josh Widdicombe,Katherine Ryan,Noel Fielding,Rob Beckett
6,Alice Levine,Asim Chaudhry,Liza Tarbuck,Russell Howard,Tim Vine
7,James Acaster,Jessica Knappett,Kerry Godliman,Phil Wang,Rhod Gilbert
8,Iain Stirling,Joe Thomas,Lou Sanders,Paul Sinha,Sian Gibson
9,David Baddiel,Ed Gamble,Jo Brand,Katy Wix,Rose Matafeo
10,Daisy May Cooper,Johnny Vegas,Katherine Parkinson,Mawaan Rizwan,Richard Herring
NY1,John Hannah,Krishnan Guru-Murthy,Nicola Coughlan,Rylan Clark-Neal,Shirley Ballas
11,Charlotte Ritchie,Jamali Maddix,Lee Mack,Mike Wozniak,Sarah Kendall
12,Alan Davies,Desiree Burch,Guz Khan,Morgana Robinson,Victoria Coren Mitchell
NY2,Adrian Chiles,Claudia Winkleman,Jonnie Peacock,Lady Leshurr,Sayeeda Warsi
C2,Ed Gamble,Kerry Godliman,Liza Tarbuck,Lou Sanders,Richard Herring
13,Ardal O’Hanlon,Bridget Christie,Chris Ramsey,Judi Love,Sophie Duker
14,Dara O Briain,Fern Brady,John Kearns,Munya Chawawa,Sarah Millican
NY3,Amelia Dimoldenberg,Carol Vorderman,Greg James,Mo Farah,Rebecca Lucy Taylor
15,Frankie Boyle,Ivo Graham,Jenny Eclair,Kiell Smith-Bynoe,Mae Martin
16,Julian Clary,Lucy Beaumont,Sam Campbell,Sue Perkins,Susan Wokoma
NY4,Deborah Meaden,Kojey Radical,Lenny Rush,Steve Backshall,Zoe Ball
C3,Dara O Briain,Kiell Smith-Bynoe,Morgana Robinson,Sarah Kendall,Sophie Duker
17,Joanne McNally,John Robins,Nick Mohammed,Sophie Willan,Steve Pemberton
18,Andy Zaltzman,Babatunde Aléshé,Emma Sidi,Jack Dee,Rosie Jones
