Series,episode num,episode title,winner
1,1,Melon Buffet,c1
1,2,The Pie Whisperer,c3
1,3,The Poet And The Egg,c2
1,4,Down An Octave,c2
1,5,Little Denim Shorts,c1
1,6,The Last Supper,c5
2,1,Fear Of Failure,c5
2,2,Pork Is A Sausage,c3
2,3,A Pistachio Eclair,c4
2,4,Welcome To Rico Face,c1
2,5,There's Strength In Arches,c5
3,1,Pea In A Haystack,c1
3,2,The Dong And The Gong,c4
3,3,Little Polythene Grief Cave,c3
3,4,A Very Nuanced Character,c2
3,5,The F.I.P.,c4
4,1,A Fat Bald White Man,c5
4,2,Look At Me,c4
4,3,Hollowing Out A Baguette,c2
4,4,Friendship Is Truth,c4
4,5,Meat,c1
4,6,Spatchcock It,c3
4,7,No Stars For Naughty Boys,c2
4,8,Tony Three Pies,c4
5,1,Dignity Intact,c1
5,2,The Leprechaun Or The Lesbian,c5
5,3,Phoenix,c1
5,4,Residue Around The Hoof,c3
5,5,A Wind-Dried Puffin,c3
5,6,Spoony Neeson,c5
5,7,Boing Boing,c1
5,8,Their Water's So Delicious,c5
C1,1,Wiley Giraffe Blower,c4
C1,2,I've Sinned Again,c2
6,1,The Old Soft Curved Padlock,c1
6,2,Tarpeters,c3
6,3,One Warm Prawn,c3
6,4,BMXing!,c4
6,5,H.,c5
6,6,We Met At Mealtimes,c5
6,7,Roadkill Doused In Syrup,c4
6,8,What Kind Of Pictures?,c4
6,9,The Bubble Brothers,c1
6,10,He Was A Different Man,c2
7,1,The Mean Bean,c3
7,2,My Eyes Are Circles,c3
7,3,Twelve Blush Majesty Two,c1
7,4,OLLIE.,c5
7,5,Lotta Soup,c2
7,6,A Coquettish Fascinator,c1
7,7,The Perfect Stuff,c5
7,8,Mother Honks Her Horn,c5
7,9,The Pendulum Draws The Eye,c3
7,10,I Can Hear It Gooping,c1
8,1,Hello,c1
8,2,A Novel About Russian Gulags,c3
8,3,Stuck In A Mammal Groove,c3
8,4,The Barrel Dad,c5
8,5,Stay Humble,c1
8,6,Rock 'n' Roll Umlaut,c5
8,7,This Is Trevor,c2
8,8,Aquatic Sewing Machine,c4
8,9,I've Been A Bit Ill,c3
8,10,Clumpsy Swayey Clumsy Man,c1
9,1,Join Our Cult,c5
9,2,Butter In The Microwave,c2
9,3,Five Miles Per Day,c4
9,4,Quisps,c5
9,5,Another Spoon,c3
9,6,Bready Bready Bready,c2
9,7,A Cuddle,c4
9,8,Shaqinahat,c4
9,9,Don't Like Them Go Bang,c1
9,10,Think About The Spirit,c2
10,1,God's Haemorrhoid,c5
10,2,A Documentary About A Despot,c3
10,3,Point Of Swivel,c1
10,4,Toshwash,c1
10,5,I Hate Your Trainers,c5
10,6,Hippopotamus,c4
10,7,Legit Glass,c2
10,8,Moments Of Silence,c5
10,9,Air Horn Andy,c5
10,10,Dog Meat Trifle,c5
NY1,1,The Fastest Duck,c5
11,1,It's Not Your Fault,c5
11,2,The Lure Of The Treacle Puppies,c4
11,3,Run Up A Tree To The Moon,c5
11,4,Premature Conker,c5
11,5,Slap And Tong,c1
11,6,Absolute Casserole,c2
11,7,You've Got No Chutzpah,c3
11,8,An Orderly Species,c3
11,9,Mr Octopus And Pottyhands,c1
11,10,Activate Jamali,c3
12,1,An Imbalance In The Poppability,c4
12,2,Oatmeal And Death,c3
12,3,The End Of The Franchise,c2
12,4,The Customised Inhaler,c1
12,5,Croissants Is Croissants,c3
12,6,A Chair In A Sweet,c3
12,7,The Integrity Of The Product,c5
12,8,A Couple Of Ethels,c1
12,9,Nothing Matters,c2
12,10,Caring Uncle Minpict,c3
NY2,1,Basic Recipe 28,c1
13,1,The Noise That Blue Makes,c3
13,2,Birdy Hand Finger,c3
13,3,I Think I've Got This,c2
13,4,Shoe Who,c1
13,5,Having a Little Chuckle,c1
13,6,
13,7,
